api_hnd,module_api_name,argument_no,argument_name,argument_datatype,argument_type,behavior_basic_flag,behavior_complete_flag
60,kernel32_CreateMutexExW,1,lpName,LPCWSTR,IN,1,1
60,kernel32_CreateMutexExW,2,dwFlags,DWORD,IN,0,1
60,kernel32_CreateMutexExW,3,dwDesiredAccess,DWORD,IN,0,1
61,kernel32_CreateSemaphoreA,0,lpSemaphoreAttributes,LPSECURITY_ATTRIBUTES,IN,0,1
61,kernel32_CreateSemaphoreA,1,lInitialCount,LONG,IN,0,1
61,kernel32_CreateSemaphoreA,2,lMaximumCount,LONG,IN,1,1
61,kernel32_CreateSemaphoreA,3,lpName,LPCSTR,IN,1,1
62,kernel32_CreateSemaphoreW,0,lpSemaphoreAttributes,LPSECURITY_ATTRIBUTES,IN,0,1
62,kernel32_CreateSemaphoreW,1,lInitialCount,LONG,IN,0,1
62,kernel32_CreateSemaphoreW,2,lMaximumCount,LONG,IN,1,1
62,kernel32_CreateSemaphoreW,3,lpName,LPCWSTR,IN,1,1
63,kernel32_CreateSemaphoreExA,0,lpSemaphoreAttributes,LPSECURITY_ATTRIBUTES,IN,0,1
63,kernel32_CreateSemaphoreExA,1,lInitialCount,LONG,IN,0,1
63,kernel32_CreateSemaphoreExA,2,lMaximumCount,LONG,IN,1,1
63,kernel32_CreateSemaphoreExA,3,lpName,LPCSTR,IN,1,1
63,kernel32_CreateSemaphoreExA,4,dwFlags,DWORD,IN,0,1
63,kernel32_CreateSemaphoreExA,5,dwDesiredAccess,DWORD,IN,0,1
64,kernel32_CreateSemaphoreExW,0,lpSemaphoreAttributes,LPSECURITY_ATTRIBUTES,IN,0,1
64,kernel32_CreateSemaphoreExW,1,lInitialCount,LONG,IN,0,1
64,kernel32_CreateSemaphoreExW,2,lMaximumCount,LONG,IN,1,1
64,kernel32_CreateSemaphoreExW,3,lpName,LPCWSTR,IN,1,1
64,kernel32_CreateSemaphoreExW,4,dwFlags,DWORD,IN,0,1
64,kernel32_CreateSemaphoreExW,5,dwDesiredAccess,DWORD,IN,0,1
65,wininet_HttpSendRequestA,0,hRequest,HINTERNET,IN,1,1
65,wininet_HttpSendRequestA,1,lpszHeaders,LPCSTR,IN,1,1
65,wininet_HttpSendRequestA,2,dwHeadersLength,DWORD,IN,1,1
65,wininet_HttpSendRequestA,3,lpOptional,LPVOID,IN,0,1
65,wininet_HttpSendRequestA,4,dwOptionalLength,DWORD,IN,0,1
66,wininet_HttpSendRequestW,0,hRequest,HINTERNET,IN,1,1
66,wininet_HttpSendRequestW,1,lpszHeaders,LPCWSTR,IN,1,1
66,wininet_HttpSendRequestW,2,dwHeadersLength,DWORD,IN,1,1
66,wininet_HttpSendRequestW,3,lpOptional,LPVOID,IN,0,1
66,wininet_HttpSendRequestW,4,dwOptionalLength,DWORD,IN,0,1
67,wininet_HttpSendRequestExA,0,hRequest,HINTERNET,IN,1,1
67,wininet_HttpSendRequestExA,1,lpBuffersIn,LPINTERNET_BUFFERSA,IN,1,1
67,wininet_HttpSendRequestExA,2,lpBuffersOut,LPINTERNET_BUFFERSA,OUT,1,1
67,wininet_HttpSendRequestExA,3,dwFlags,DWORD,IN,0,1
67,wininet_HttpSendRequestExA,4,dwContext,DWORD_PTR,IN,1,1
68,wininet_HttpSendRequestExW,0,hRequest,HINTERNET,IN,1,1
68,wininet_HttpSendRequestExW,1,lpBuffersIn,LPINTERNET_BUFFERSW,IN,1,1
68,wininet_HttpSendRequestExW,2,lpBuffersOut,LPINTERNET_BUFFERSW,OUT,1,1
68,wininet_HttpSendRequestExW,3,dwFlags,DWORD,IN,0,1
68,wininet_HttpSendRequestExW,4,dwContext,DWORD_PTR,IN,1,1
69,wininet_InternetReadFile,0,hFile,HINTERNET,IN,1,1
